               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14864,            0.091483,            0.040854,                   0,                   0,                   0,                   0,             0.14049,             0.09035,             0.03992,              0.0892,              0.0012,              0.0012
                   1,              0.1421,             0.09952,            0.038755,           0.0050115,           0.0044856,           0.0027265,          0.00065058,             0.13559,             0.09591,             0.03894,            0.077451,           0.0024505,           0.0024505
                   2,             0.13674,             0.10502,            0.036929,           0.0096033,           0.0039066,           0.0050045,           0.0010092,             0.13228,            0.097299,              0.0374,             0.06565,           0.0036495,           0.0036495
                   3,             0.13444,            0.089895,            0.033442,            0.032635,            0.055413,            0.018669,           0.0053393,             0.12768,            0.085422,            0.033193,            0.053797,           0.0047971,           0.0047971
                   4,             0.12946,            0.091272,            0.028766,            0.051742,            0.018901,             0.02006,           0.0056378,             0.12489,             0.11137,            0.030986,            0.041893,           0.0058931,           0.0058931
                   5,             0.12762,            0.094392,            0.024308,             0.05352,            0.051695,             0.02854,           0.0074676,             0.12564,            0.085692,            0.021287,            0.029938,           0.0069377,           0.0069377
                   6,             0.12261,            0.097827,            0.017531,            0.078502,             0.21113,            0.046498,            0.015002,             0.12203,             0.11847,            0.017156,            0.017931,           0.0079308,           0.0079308
                   7,             0.12093,             0.11769,            0.013767,             0.04889,             0.25539,            0.029972,           0.0071966,             0.12533,             0.10721,            0.020855,            0.008614,            0.008614,            0.008614
                   8,             0.12186,             0.10723,            0.010211,            0.066486,             0.27694,            0.066233,            0.015949,             0.12593,             0.10433,             0.01423,            0.008614,            0.008614,            0.008614
                   9,             0.12122,            0.095067,           0.0094072,             0.11453,             0.20666,             0.10589,            0.028501,             0.11626,            0.099295,            0.017576,            0.008416,            0.008416,            0.008416
                  10,             0.11991,            0.098855,           0.0075244,             0.18352,              0.3847,             0.15814,            0.038174,             0.11599,             0.10382,           0.0090962,            0.008218,            0.008218,            0.008218
                  11,             0.11477,             0.10477,           0.0059821,             0.11579,             0.53863,             0.10365,            0.023506,             0.11261,            0.092914,           0.0091052,             0.00802,             0.00802,             0.00802
                  12,             0.11337,             0.11191,           0.0054035,              0.2297,              0.6221,             0.26785,            0.077425,             0.10111,            0.098237,           0.0052415,            0.007822,            0.007822,            0.007822
                  13,             0.10924,             0.11502,           0.0053866,             0.23993,             0.54155,             0.24133,            0.051458,             0.10654,             0.11063,           0.0035295,            0.007624,            0.007624,            0.007624
                  14,             0.11076,             0.10675,            0.004818,              0.2432,              0.7043,             0.39259,            0.075954,             0.10673,            0.092633,           0.0032581,            0.007426,            0.007426,            0.007426
                  15,             0.10801,             0.11165,           0.0044924,              0.1916,             0.75619,             0.29692,             0.07295,             0.10364,            0.099893,           0.0066993,            0.007228,            0.007228,            0.007228
